intensity,P_e_n1_avg
0.18,1.7017951278830054e-07
0.19,3.957541294689844e-07
0.195,6.516480435476732e-07
0.196,6.84748733832483e-07
0.197,7.400566396752664e-07
0.198,8.085635472341222e-07
0.199,8.648912395425592e-07
0.2,8.988328512088886e-07
0.2005,9.075493449739273e-07
0.2007,9.095903448226141e-07
0.2008,9.103071774017806e-07
0.2009,9.108224821437116e-07
0.201,9.111364171103888e-07
0.2011,9.112486985547711e-07
0.2012,9.111585930800143e-07
0.2013,9.108649164804667e-07
0.2014,9.103660398919366e-07
0.2015,9.096599040034578e-07
0.202,9.029219051048504e-07
0.203,8.720602181406108e-07
0.204,8.182340177097635e-07
0.21,5.201387720178934e-07
0.22,2.3832717293351303e-07
