intensity_meV,Evib_ground_avg_eV,Evib_excited_avg_eV,Evib_total_avg_eV,Ekin_ground_avg,Ekin_excited_avg,Ekin_total_avg
0.16,1.1234929962283704e-10,1.9474972748041244e-06,1.9476096241037475e-06,3.1988893984378484,0.001135617704020623,3.2000250161418693
0.18,1.1092539952598161e-10,1.8153842058561527e-06,1.8154951312556788e-06,4.048896423093757,0.0011366910361205844,4.05003311412988
0.19,1.3532544298045152e-10,1.7778116411538713e-06,1.7779469665968515e-06,4.5114017406112765,0.0011363532256876646,4.512538093836963
0.195,3.2316735877350845e-10,1.7664170258892425e-06,1.7667401932480159e-06,4.75202812528193,0.0011377808458798502,4.75316590612781
0.2,6.120234508157364e-09,1.7610951686687586e-06,1.7672154031769158e-06,4.998905731338192,0.0011385673778863455,5.0000442987160785
0.205,2.0372947729644347e-10,1.7567626727182248e-06,1.7569664021955214e-06,5.252033763915204,0.0011385063269119876,5.253172270242116
0.21,1.0842432923546784e-10,1.759064586545731e-06,1.7591730108749661e-06,5.511411667228864,0.0011392224287756583,5.51255088965764
0.22,1.0661475999171487e-10,1.7675756009121497e-06,1.7676822156721416e-06,6.048917113108886,0.0011415451359711064,6.050058658244858
0.24,9.915273843523905e-11,1.8353224695772922e-06,1.8354216223157274e-06,7.198932516510166,0.0011463324255770247,7.2000788489357435
