Rabi_meV,P_g_0_avg,P_g_1_avg,P_g_2_avg,P_g_3_avg
0.2,0.9999999997269486,3.791429775210955e-16,2.060621529031579e-22,1.2233915531617623e-25
0.2005,0.9999999997269415,8.797631690231496e-16,2.0528491513749087e-22,1.1722861140043e-25
0.201,0.9999999997269269,2.9837714759425836e-15,2.047891342521134e-22,1.0997604058069079e-25
0.2011,0.9999999997269176,3.875563614015214e-15,2.0720330675624192e-22,1.1683789878029576e-25
0.2012,0.9999999997269045,4.799218442829834e-15,2.0927077278669085e-22,1.2275950149997604e-25
0.20125,0.9999999997269026,5.164432699395802e-15,2.1030397289546867e-22,1.2489239560411787e-25
0.2013,0.9999999997269028,5.3927002304842235e-15,2.1141145483500054e-22,1.2627315240724481e-25
0.20134,0.9999999997269116,5.449663280526224e-15,2.124475847521965e-22,1.2544324085495453e-25
0.20138,0.9999999997269172,5.386866003625203e-15,2.135610928246395e-22,1.2060315534643246e-25
0.2014,0.9999999997269183,5.312406081378221e-15,2.1413145158136214e-22,1.1666619220833934e-25
0.20145,0.9999999997269243,5.018524148769948e-15,2.1551593477582376e-22,1.0837443389518545e-25
0.2015,0.9999999997269248,4.611662894689818e-15,2.1669535033935446e-22,1.0872773123567596e-25
0.2016,0.9999999997269218,3.67525324123658e-15,2.182967541403595e-22,1.2145528763172039e-25
0.2017,0.9999999997269159,2.822104092310169e-15,2.192467001102859e-22,1.3710058907876352e-25
0.202,0.9999999997269143,1.3124999142883354e-15,2.216949777164732e-22,1.1800243671958088e-25
0.203,0.9999999997268978,2.621434945110917e-16,2.2928928322099665e-22,1.3480801421995363e-25
