intensity,P_e_n2_avg
0.06,6.012685343305131e-05
0.07,0.00013205877058679495
0.08,2.764964550135631e-05
0.09,5.969744751526752e-05
0.1,0.0002374547756903972
0.11,9.118284553380505e-05
0.12,1.4314716245455372e-05
0.13,4.036697443063495e-06
0.14,1.7753587878609318e-06
0.15,8.154414248139149e-07
0.16,3.921084394315901e-07
0.17,1.6712317093231115e-07
0.18,4.520591024503182e-08
0.19,9.775381443364462e-08
0.2,5.319649169709243e-07
0.21,4.028728483445242e-07
0.22,2.2434978486162455e-07
0.23,1.3856756174786246e-07
0.24,9.581319254027472e-08
0.25,6.972267235615011e-08
