intensity,P_g_n1_avg
0.15,9.891311088727495e-15
0.16,9.718987750844496e-15
0.17,9.538694650390737e-15
0.18,9.350961480799717e-15
0.19,9.156332923473686e-15
0.2,8.95536610710001e-15
0.21,8.748628045819441e-15
0.22,8.536693072264528e-15
0.23,8.320140281229913e-15
0.24,8.09955099930933e-15
0.25,7.875506295491728e-15
0.26,7.648584546945498e-15
0.27,7.41935907369685e-15
0.28,7.188395855028575e-15
0.29,6.956251339593932e-15
0.3,6.723470360249676e-15
0.31,6.490511346895732e-15
0.32,6.258037868305803e-15
0.33,6.026473655964206e-15
0.34,5.7962986482453566e-15
0.35,5.5679726269766274e-15
0.36,5.341933933259794e-15
0.37,5.118598334909062e-15
0.38,4.8983585500032884e-15
0.39,4.681581395900304e-15
0.4,4.468610185025045e-15
0.41,4.2597621473348406e-15
0.42,4.055328584033459e-15
0.43,3.855574649393556e-15
0.44,3.6607392760394305e-15
0.45,3.4710352386329934e-15
