cv,P_g_n1_avg,P_g_n2_avg,P_e_n1_avg,P_e_n2_avg
0.2,4.944932469818673e-14,7.402573028479457e-22,7.191978639993387e-11,1.9634661097753372e-13
0.2002,3.450353284996188e-13,7.57884580771331e-22,7.194038924158355e-11,1.9649694018619537e-13
0.2003,7.469362027478021e-13,7.452824498226348e-22,7.196324316362401e-11,1.9663972606421542e-13
0.20032,7.801552559842384e-13,7.402161016313934e-22,7.197491790641536e-11,1.9668381646517974e-13
0.20034,7.855737806732895e-13,7.360530084111085e-22,7.198796000194235e-11,1.9673031244808216e-13
0.20036,7.626356379671827e-13,7.339893700964113e-22,7.20008439820634e-11,1.967764278586655e-13
0.2004,6.436373644144029e-13,7.382175355691058e-22,7.202077082510659e-11,1.9685791659149634e-13
0.2006,6.441760671989623e-14,7.458573293426697e-22,7.204902701903026e-11,1.9703268516741515e-13
0.2008,2.2202850403448118e-14,7.493476494689516e-22,7.212708069640574e-11,1.9738499716212004e-13
0.201,1.113560344773081e-14,7.520469528758969e-22,7.21581079254006e-11,1.9757352932046897e-13
0.202,1.8608547999444293e-15,7.668846088502683e-22,7.242940684847496e-11,1.989340183309376e-13
0.204,3.8740691446831764e-16,7.964550897133457e-22,7.295467324745593e-11,2.0159312821002862e-13
0.206,1.598626945483372e-16,8.268859251811991e-22,7.353862902278021e-11,2.0444486185461428e-13
0.208,8.793935407046677e-17,8.595613223702394e-22,7.413152681219286e-11,2.073875256948583e-13
0.21,5.5219273487623786e-17,8.930815715889177e-22,7.472410055629438e-11,2.1032984793870374e-13
